date,fomc_pol,fomc_subj,fomc_wc,wc_raw
2015-01-28,0.07142856887755111,0.0858895702886823,6.340359303727752,567
2015-03-18,0.07692307396449716,0.07951070312076237,6.366470447731438,582
2015-04-29,-0.08333332986111125,0.07476635490726992,6.324358962381311,558
2015-06-17,0.23809522675737013,0.0677419352653486,6.297109319933935,543
2015-07-29,0.18181817355371938,0.07096774170655568,6.285998094508865,537
2015-09-17,0.1304347769376184,0.06865671621296503,6.373319789577012,586
2015-10-28,0.14285713605442207,0.06521739110180934,6.3578422665081,577
2015-12-16,0.1666666597222225,0.07384615361893491,6.39024066706535,596
2016-01-27,-0.03999999840000006,0.081168830905296,6.335054251498059,564
2016-03-16,0.29999998500000075,0.06389776337412856,6.3578422665081,577
2016-04-27,0.29999998500000075,0.06329113904021791,6.366470447731438,582
2016-06-15,0.03999999840000006,0.08389261716814558,6.302618975744905,546
2016-07-27,0.15789472853185638,0.06070287520542213,6.3473892096560105,571
2016-09-21,0.23809522675737013,0.06501547967487467,6.411818267709897,609
2016-11-02,0.29999998500000075,0.0628930815632293,6.401917196727186,603
2016-12-14,0.2222222098765439,0.060200668694981044,6.293419278846481,541
2017-02-01,0.3333333111111126,0.052447552264169396,6.22455842927536,505
2017-03-15,0.4999999583333368,0.04026845624070988,6.267200548541362,527
2017-05-03,0.12499999218750048,0.05333333315555556,6.259581464064923,523
2017-06-14,0.2857142653061239,0.04472843436188999,6.322565239927284,557
2017-07-26,0.2857142653061239,0.04895104877989144,6.238324625039508,512
2017-09-20,0.09999999500000024,0.06802721065296867,6.29156913955832,540
2017-11-01,0.09999999500000024,0.0694444442033179,6.249975242259483,518
2017-12-13,0.07692307100591762,0.047794117471345154,6.19644412779452,491
2018-01-31,0.39999996000000404,0.042372881176386094,6.054439346269371,426
2018-03-21,0.4545454132231443,0.044534412775164324,6.113682179832232,452
2018-05-02,0.33333329629630043,0.03797468338407307,6.054439346269371,426
2018-06-13,-0.11111109876543349,0.04999999972222222,5.786897381366708,326
2018-08-01,0.0,0.04571428545306123,5.749392985908253,314
2018-09-26,0.0,0.048780487507436056,5.69035945432406,296
2018-11-08,-0.11111109876543349,0.053571428252551026,5.733341276897746,309
2018-12-19,-0.11111109876543349,0.05056179746875395,5.817111159963204,336
2019-01-30,0.0,0.04494381997222573,5.808142489980444,333
2019-03-20,-0.39999996000000404,0.05405405376186998,5.855071922202427,349
2019-05-01,-0.33333329629630043,0.05142857113469388,5.783825182329737,325
2019-06-19,-0.2727272479338866,0.057591622735122396,5.8916442118257715,362
2019-07-31,-0.2727272479338866,0.051401868918682855,6.013715156042802,409
2019-09-18,-0.3333333055555579,0.05911330020141232,5.976350909297934,394
2019-10-11,-0.06666666222222252,0.0394736841066482,6.5722825426940075,715
2019-10-30,-0.2727272479338866,0.05882352909720038,5.869296913133774,354
2019-12-11,-0.19999998000000202,0.05714285681632653,5.75890177387728,317
2020-01-29,-0.19999998000000202,0.05681818149535124,5.75890177387728,317
2020-03-03,-0.199999960000008,0.07812499877929689,4.90527477843843,135
2020-03-15,-0.034482757431629055,0.07712765936934134,6.548219102762372,698
2020-03-23,0.23076921301775286,0.03869047607532596,6.380122536899765,590
2020-03-31,-0.33333327777778704,0.04195804166462908,5.517452896464707,249
2020-04-29,-0.09090908677685969,0.09361702087822545,6.059123195581797,428
2020-06-10,0.04761904535147403,0.08974358936007013,6.066108090103747,431
2020-07-29,0.14285713605442207,0.0871369290990169,6.113682179832232,452
2020-08-27,0.14285713605442207,0.0630630628736845,6.3578422665081,577
2020-09-16,0.3043478128544429,0.07796610143062338,6.315358001522335,553
2020-11-05,0.05263157617728546,0.07392996080182895,6.152732694704104,470
2020-12-16,0.14285713605442207,0.08045976980666755,6.182084906716632,484
2021-01-27,0.08333332986111125,0.09022556357058059,6.19644412779452,491
2021-03-17,0.18181817355371938,0.08301886761124956,6.186208623900494,486
2021-04-28,0.333333319444445,0.09022556357058059,6.1779441140506,482
2021-06-16,0.41666664930555625,0.09160305308548453,6.173786103901937,480
2021-07-28,0.4999999791666675,0.09056603739409043,6.202535517187923,494
2021-09-22,0.4399999824000007,0.09259259224965706,6.238324625039508,512
