date,ts,o,h,l,c,v,gk_vol,ret,absret,mom5,mom22,vol_z,rv_d,rv_w,rv_m,target,vix,dvix5,y10,dy10_5,ddxy5,log_epu,epu5,fomc_pol,fomc_subj,fomc_wc,days_since_fomc
2015-01-28,1422455400,2032.3399658203125,2042.489990234375,2001.489990234375,2002.1600341796875,4067530000,17.326230884539417,-1.3587502811021501,1.3587502811021501,-1.4743204638253848,-3.82922421658235,0.5755568702508286,17.326230884539417,11.679255640916102,11.918878848656128,13.913382867372015,20.44,1.5899999999999999,1.73,-0.14000000000000012,0.6628074360847114,4.35040696029342,4.231652051753242,0.07142856887755111,0.0858895702886823,6.340359303727752,0.0
2015-01-29,1422541800,2002.449951171875,2024.6400146484375,1989.1800537109375,2021.25,4127140000,17.560607707839253,0.9489517058263175,0.9489517058263175,-2.0308704809161693,-3.2325253091483264,0.6577794329929324,17.560607707839253,12.045935500529142,12.535756111484863,11.800522913838636,18.76,2.360000000000003,1.77,-0.1299999999999999,1.2982176929790201,3.4701013603093664,4.062068062875521,0.07142856887755111,0.0858895702886823,6.340359303727752,1.0
2015-01-30,1422628200,2019.3499755859375,2023.3199462890625,1993.3800048828125,1994.989990234375,4568650000,11.68950423315162,-1.3077099006318704,1.3077099006318704,-2.7697398520154404,-4.571962431281184,1.1920225438985288,11.68950423315162,13.548331823226608,12.887407704753214,11.816750769832273,20.97,4.309999999999999,1.68,-0.13000000000000012,1.1697116729713075,4.176692303570854,4.002644950031439,0.07142856887755111,0.0858895702886823,6.340359303727752,2.0
2015-02-02,1422887400,1996.6700439453125,2021.6600341796875,1980.9000244140625,2020.8499755859375,4008330000,19.53580647610745,1.2879170000215545,1.2879170000215545,-1.7617173170013545,-2.860101390498937,0.4750600109000418,19.53580647610745,15.747762272364849,13.643302199506303,8.570147172199825,19.43,3.91,1.68,-0.15000000000000013,0.6929436514302001,4.375127892982725,4.12653467900894,0.07142856887755111,0.0858895702886823,6.340359303727752,5.0
2015-02-03,1422973800,2022.7099609375,2050.300048828125,2022.7099609375,2050.030029296875,4615900000,7.486687212858525,1.433623857745303,1.433623857745303,1.0090896985060827,-0.4308064241869136,1.2170222856037491,7.486687212858525,14.719767302899253,13.524657103466431,8.641160050688471,17.33,0.10999999999999943,1.79,-0.040000000000000036,0.4240404129618014,4.183575695950044,4.269229546137075,0.07142856887755111,0.0858895702886823,6.340359303727752,6.0
2015-02-04,1423060200,2048.860107421875,2054.739990234375,2036.719970703125,2041.510009765625,4141920000,9.230029343930104,-0.41647065724523813,0.41647065724523813,1.9653761394782698,-0.8108999029344699,0.6077479748428805,9.230029343930104,13.100526994777393,13.292217968597333,8.47352014584377,18.33,-2.110000000000003,1.81,0.08000000000000007,0.297969728266545,4.208565706312124,4.27560422668533,0.07142856887755111,0.0858895702886823,6.340359303727752,7.0
2015-02-05,1423146600,2043.449951171875,2063.550048828125,2043.449951171875,2062.52001953125,3821990000,6.060159585223095,1.0238810710909263,1.0238810710909263,2.0418067795299866,2.075644834092749,0.20325315189981336,6.060159585223095,10.800437370254162,13.011742185254906,8.312636075834455,16.85,-1.9100000000000001,1.83,0.06000000000000005,-0.7454669284539861,4.746409297680816,4.342326427553365,0.07142856887755111,0.0858895702886823,6.340359303727752,8.0
2015-02-06,1423233000,2062.280029296875,2072.39990234375,2049.969970703125,2055.469970703125,4232970000,11.77118506346639,-0.3424027611878877,0.3424027611878877,3.0315931791539796,2.6395546680689774,0.6979921011281831,11.77118506346639,10.816773536317115,12.692174662495331,6.673608391868751,17.29,-3.6799999999999997,1.95,0.27,-0.435748623901866,4.079569276639947,4.318649573913131,0.07142856887755111,0.0858895702886823,6.340359303727752,9.0
2015-02-09,1423492200,2053.469970703125,2056.159912109375,2041.8800048828125,2046.739990234375,3549540000,7.12087450079601,-0.4256239310481469,0.4256239310481469,1.2811448133813519,1.0286769124423945,-0.17193152984352875,7.12087450079601,8.333787141254827,12.609370489899124,6.428276886403178,18.55,-0.879999999999999,1.96,0.28,-0.20616734058388486,4.471524501118173,4.299481278138925,0.07142856887755111,0.0858895702886823,6.340359303727752,12.0
2015-02-10,1423578600,2049.3798828125,2070.860107421875,2048.6201171875,2068.590087890625,3669850000,7.884263298839528,1.061897955406188,1.061897955406188,0.9053554498475114,0.3127913550246886,-0.02912154113455232,7.884263298839528,8.413302358451029,12.500525165736423,5.711635865570148,17.23,-0.09999999999999787,2.01,0.21999999999999975,0.6533067320037,4.4275973362163406,4.235718885846031,0.07142856887755111,0.0858895702886823,6.340359303727752,13.0
